name	version	architecture	url	filename	bytes	sha256	depends	pre_depends	license	purpose_ko	import_route
libzstd1	1.5.5+dfsg2-2build1.1	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/libz/libzstd/libzstd1_1.5.5%2bdfsg2-2build1.1_arm64.deb	libzstd1_1.5.5+dfsg2-2build1.1_arm64.deb	271278	ea7d6e9fde577ea14dbf07fdfb74d6287eb09c6cba4a9d63abdcb87b0ec54bcc	libc6 (>= 2.34)		BSD-3-Clause OR GPL-2.0-only; additional per-file notices	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
media-types	10.1.0	all	https://ports.ubuntu.com/ubuntu-ports/pool/main/m/media-types/media-types_10.1.0_all.deb	media-types_10.1.0_all.deb	27474	31bfb7eec55ab6d34a50ba995150e1498d4cb897714085d8025e330d3b529747			Public-domain information (ad-hoc notice)	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
netbase	6.4	all	https://ports.ubuntu.com/ubuntu-ports/pool/main/n/netbase/netbase_6.4_all.deb	netbase_6.4_all.deb	13112	8cdbc9c3dca01e660759bf9d840f72e45ac72faf5d19ca1faecacaf6a60c1a87			GPL-2.0-only	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
openssl	3.0.13-0ubuntu3.15	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/o/openssl/openssl_3.0.13-0ubuntu3.15_arm64.deb	openssl_3.0.13-0ubuntu3.15_arm64.deb	984680	818b4ab7092eb3365358ce41896ad08206b30cdb67445d7ec0503262893a0d95	libc6 (>= 2.34), libssl3t64 (>= 3.0.9)		Apache-2.0 (OpenSSL); additional per-file notices	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
python3-minimal	3.12.3-0ubuntu2.1	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/p/python3-defaults/python3-minimal_3.12.3-0ubuntu2.1_arm64.deb	python3-minimal_3.12.3-0ubuntu2.1_arm64.deb	27444	883f362e7ea23d3de5483c0b5c31774f75897cc46d34840371b5fe7a0cc3a83c	dpkg (>= 1.13.20)	python3.12-minimal (>= 3.12.3-0~)	PSF-2.0; historical Python and third-party notices	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
python3-pip	24.0+dfsg-1ubuntu1.3	all	https://ports.ubuntu.com/ubuntu-ports/pool/universe/p/python-pip/python3-pip_24.0%2bdfsg-1ubuntu1.3_all.deb	python3-pip_24.0+dfsg-1ubuntu1.3_all.deb	1319940	4e1af0b6f0b52c847ffa7b192b9f650845b99ff300138af05ab9a6252eb75682	ca-certificates, python3-setuptools, python3-wheel, python3:any		MIT (pip); Apache-2.0, BSD, ISC, MPL, LGPL, Python (bundled)	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
python3-pkg-resources	68.1.2-2ubuntu1.2	all	https://ports.ubuntu.com/ubuntu-ports/pool/main/s/setuptools/python3-pkg-resources_68.1.2-2ubuntu1.2_all.deb	python3-pkg-resources_68.1.2-2ubuntu1.2_all.deb	167914	13caaa69d5ba8b02e90087d4bcef714c0581e591e820804d15d12f582055147a	python3:any		MIT; Apache-2.0; BSD-3-Clause (packaging)	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
python3-setuptools	68.1.2-2ubuntu1.2	all	https://ports.ubuntu.com/ubuntu-ports/pool/main/s/setuptools/python3-setuptools_68.1.2-2ubuntu1.2_all.deb	python3-setuptools_68.1.2-2ubuntu1.2_all.deb	396614	27ede03d8c5046c30cf1dcdc8835708408d27bdd3561e881b5d66656e6ff23e7	python3-pkg-resources (= 68.1.2-2ubuntu1.2), python3:any		MIT; Apache-2.0; BSD-3-Clause (packaging)	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
python3-wheel	0.42.0-2	all	https://ports.ubuntu.com/ubuntu-ports/pool/universe/w/wheel/python3-wheel_0.42.0-2_all.deb	python3-wheel_0.42.0-2_all.deb	53052	e1a4076425d3d1f1772b11bff6a025055723b2d0a4972f9519849ddaa8cd3953	python3:any		MIT; (Apache-2.0 OR BSD-2-Clause); GPL-3.0-only (packaging)	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
python3.12-minimal	3.12.3-1ubuntu0.16	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/p/python3.12/python3.12-minimal_3.12.3-1ubuntu0.16_arm64.deb	python3.12-minimal_3.12.3-1ubuntu0.16_arm64.deb	2235128	651ffbd5816b03a8e146047db4aa00c83b644f25113784b5a398d1a2314b611b	libpython3.12-minimal (= 3.12.3-1ubuntu0.16), libexpat1 (>= 2.6.0), zlib1g (>= 1:1.2.0)	libc6 (>= 2.38)	PSF-2.0; historical Python and third-party notices	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
python3.12	3.12.3-1ubuntu0.16	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/p/python3.12/python3.12_3.12.3-1ubuntu0.16_arm64.deb	python3.12_3.12.3-1ubuntu0.16_arm64.deb	650728	610e1be5625661af1eb69f5bfd6d65d832810b52e96a9ff8c5ac719990e98553	python3.12-minimal (= 3.12.3-1ubuntu0.16), libpython3.12-stdlib (= 3.12.3-1ubuntu0.16), media-types | mime-support, tzdata		PSF-2.0; historical Python and third-party notices	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
python3	3.12.3-0ubuntu2.1	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/p/python3-defaults/python3_3.12.3-0ubuntu2.1_arm64.deb	python3_3.12.3-0ubuntu2.1_arm64.deb	23004	ea792b91e0fc9e249b96b960d14e04a8b7107029988546e8dd3511b74a693a6c	python3.12 (>= 3.12.3-0~), libpython3-stdlib (= 3.12.3-0ubuntu2.1)	python3-minimal (= 3.12.3-0ubuntu2.1)	PSF-2.0; historical Python and third-party notices	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
readline-common	8.2-4build1	all	https://ports.ubuntu.com/ubuntu-ports/pool/main/r/readline/readline-common_8.2-4build1_all.deb	readline-common_8.2-4build1_all.deb	56484	879bfd7f8a9bc4c0f7cdc777cdd8bc6de5f8c4a2ac80c060322a1b22f13504bb			GPL-3.0-or-later; additional per-file/documentation notices	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
tar	1.35+dfsg-3ubuntu0.4	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/t/tar/tar_1.35%2bdfsg-3ubuntu0.4_arm64.deb	tar_1.35+dfsg-3ubuntu0.4_arm64.deb	252352	3302932e6125f1be306a9be67cf58a81f94911d92a99c9eeb0aff59c2c457fd7		libacl1 (>= 2.2.23), libc6 (>= 2.38), libselinux1 (>= 3.1~)	GPL-3.0-or-later; additional GPL/LGPL/Bison-exception notices	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
tzdata	2026c-0ubuntu0.24.04.1	all	https://ports.ubuntu.com/ubuntu-ports/pool/main/t/tzdata/tzdata_2026c-0ubuntu0.24.04.1_all.deb	tzdata_2026c-0ubuntu0.24.04.1_all.deb	279816	ef12c9ef81905b5ac558504b2f8c20da9be5f28861020b3fb5e8b15fb3fae2f6	debconf (>= 0.5) | debconf-2.0		Public-domain (database); ICU (additional files)	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
zlib1g	1:1.3.dfsg-3.1ubuntu2.2	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/z/zlib/zlib1g_1.3.dfsg-3.1ubuntu2.2_arm64.deb	zlib1g_1%3a1.3.dfsg-3.1ubuntu2.2_arm64.deb	61898	e55ab3b4fb7b6edc4a628e28ec13f8780b08abe427d33ae148f030d8586d0e9a	libc6 (>= 2.17)		Zlib	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
