path	bytes	upstream_lfs_sha256	over_5gb_decimal	url
model-00028-of-00048.safetensors	3590026352	b2fd5cbbb639f16e673bc484e5cca16b52a58bf2ab4bd62592e0c5408712ad7c	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00028-of-00048.safetensors?download=true
model-00029-of-00048.safetensors	3568770544	9ec2fdf900275daeac0980490c5c731cc7868b151ce1de5698f48418de4fa5f0	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00029-of-00048.safetensors?download=true
model-00030-of-00048.safetensors	3590026352	9ed3c317bf967d32133ad3a068ee4c56aae9784bc8b7da694482437f37dc1782	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00030-of-00048.safetensors?download=true
model-00031-of-00048.safetensors	3568770544	d5078c3fca3e6370043606ead7856e0b8fe67a9aab52c415769f29934c4d7f5d	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00031-of-00048.safetensors?download=true
model-00032-of-00048.safetensors	3590026352	163653848f002718d3deaa6ce48885483fc1f2e12e50e44a47477c73ccd91393	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00032-of-00048.safetensors?download=true
model-00033-of-00048.safetensors	3568770544	f2cffd43f2a5f491f4691f8694e6bc08239158e143ae7063dc04f0eb0259214a	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00033-of-00048.safetensors?download=true
model-00034-of-00048.safetensors	3590026352	0f94945121474cfdb6a9ab175914d3811ffbf08e6cc54082e14e473c755d18d8	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00034-of-00048.safetensors?download=true
model-00035-of-00048.safetensors	3568770544	9cb6a316989f7c7385e3ec2bd42ffe766ee126c70ef3466742849982ee1b0f0f	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00035-of-00048.safetensors?download=true
model-00036-of-00048.safetensors	3590026352	7e6761421fe944c2143eb897b983085891b421c148c6c17fb5cd8eaa9bdaa497	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00036-of-00048.safetensors?download=true
model-00037-of-00048.safetensors	3568770544	a59d662f1143596d56c452a1230b717ce43edf678207398c573a2503b0f72c91	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00037-of-00048.safetensors?download=true
